"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
provides_othent_serv_51,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_51(5)] = '1'",,RH,,,,
provides_othent_68_51,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_51,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_51(8)] = '1'",,RH,,,,
agree_othent_51,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_51,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_51(10)] = '1'",,,,,,
country_othent_61,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
country_othent_oth_61,mapping_meeting,,text,Country,,,,,,,"[country_othent_61] = '2'",,RH,,,,
entity_othent_61,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_othent_12_61,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_othent_data_61,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_othent_12_61(2)] = '1'",,,,,,
receives_othent_35_61,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_othent_serv_61,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_35_61(5)] = '1'",,RH,,,,
receives_othent_68_61,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_othent_oth_61,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_68_61(8)] = '1'",,RH,,,,
provides_othent_12_61,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_othent_data_61,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_othent_12_61(2)] = '1'",,,,,,
provides_othent_35_61,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_othent_serv_61,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_61(5)] = '1'",,RH,,,,
provides_othent_68_61,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_61,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_61(8)] = '1'",,RH,,,,
agree_othent_61,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_61,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_61(10)] = '1'",,,,,,
country_othent_71,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
country_othent_oth_71,mapping_meeting,,text,Country,,,,,,,"[country_othent_71] = '2'",,RH,,,,
entity_othent_71,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_othent_12_71,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_othent_data_71,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_othent_12_71(2)] = '1'",,,,,,
receives_othent_35_71,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_othent_serv_71,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_35_71(5)] = '1'",,RH,,,,
receives_othent_68_71,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_othent_oth_71,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_68_71(8)] = '1'",,RH,,,,
provides_othent_12_71,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_othent_data_71,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_othent_12_71(2)] = '1'",,,,,,
provides_othent_35_71,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_othent_serv_71,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_71(5)] = '1'",,RH,,,,
provides_othent_68_71,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_71,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_71(8)] = '1'",,RH,,,,
agree_othent_71,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_71,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_71(10)] = '1'",,,,,,
country_othent_81,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
country_othent_oth_81,mapping_meeting,,text,Country,,,,,,,"[country_othent_81] = '2'",,RH,,,,
entity_othent_81,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_othent_12_81,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_othent_data_81,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_othent_12_81(2)] = '1'",,,,,,
receives_othent_35_81,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_othent_serv_81,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_35_81(5)] = '1'",,RH,,,,
receives_othent_68_81,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_othent_oth_81,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_68_81(8)] = '1'",,RH,,,,
provides_othent_12_81,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_othent_data_81,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_othent_12_81(2)] = '1'",,,,,,
provides_othent_35_81,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_othent_serv_81,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_81(5)] = '1'",,RH,,,,
provides_othent_68_81,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_81,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_81(8)] = '1'",,RH,,,,
agree_othent_81,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_81,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_81(10)] = '1'",,,,,,
country_othent_91,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
country_othent_oth_91,mapping_meeting,,text,Country,,,,,,,"[country_othent_91] = '2'",,RH,,,,
entity_othent_91,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_othent_12_91,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_othent_data_91,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_othent_12_91(2)] = '1'",,,,,,
receives_othent_35_91,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_othent_serv_91,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_35_91(5)] = '1'",,RH,,,,
receives_othent_68_91,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_othent_oth_91,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_68_91(8)] = '1'",,RH,,,,
provides_othent_12_91,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_othent_data_91,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_othent_12_91(2)] = '1'",,,,,,
provides_othent_35_91,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_othent_serv_91,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_91(5)] = '1'",,RH,,,,
provides_othent_68_91,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_91,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_91(8)] = '1'",,RH,,,,
agree_othent_91,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_91,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_91(10)] = '1'",,,,,,
country_othent_101,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
country_othent_oth_101,mapping_meeting,,text,Country,,,,,,,"[country_othent_101] = '2'",,RH,,,,
entity_othent_101,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_othent_12_101,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_othent_data_101,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_othent_12_101(2)] = '1'",,,,,,
receives_othent_35_101,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_othent_serv_101,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_35_101(5)] = '1'",,RH,,,,
receives_othent_68_101,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_othent_oth_101,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_68_101(8)] = '1'",,RH,,,,
provides_othent_12_101,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_othent_data_101,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_othent_12_101(2)] = '1'",,,,,,
provides_othent_35_101,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_othent_serv_101,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_101(5)] = '1'",,RH,,,,
provides_othent_68_101,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_101,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_101(8)] = '1'",,RH,,,,
agree_othent_101,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_101,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_101(10)] = '1'",,,,,,
country_othent_111,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
country_othent_oth_111,mapping_meeting,,text,Country,,,,,,,"[country_othent_111] = '2'",,RH,,,,
entity_othent_111,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_othent_12_111,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_othent_data_111,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_othent_12_111(2)] = '1'",,,,,,
receives_othent_35_111,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_othent_serv_111,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_35_111(5)] = '1'",,RH,,,,
receives_othent_68_111,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_othent_oth_111,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_68_111(8)] = '1'",,RH,,,,
provides_othent_12_111,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_othent_data_111,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_othent_12_111(2)] = '1'",,,,,,
provides_othent_35_111,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_othent_serv_111,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_111(5)] = '1'",,RH,,,,
provides_othent_68_111,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_111,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_111(8)] = '1'",,RH,,,,
agree_othent_111,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_111,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_111(10)] = '1'",,,,,,
country_othent_121,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
country_othent_oth_121,mapping_meeting,,text,Country,,,,,,,"[country_othent_121] = '2'",,RH,,,,
entity_othent_121,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_othent_12_121,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_othent_data_121,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_othent_12_121(2)] = '1'",,,,,,
receives_othent_35_121,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_othent_serv_121,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_35_121(5)] = '1'",,RH,,,,
receives_othent_68_121,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_othent_oth_121,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_68_121(8)] = '1'",,RH,,,,
provides_othent_12_121,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_othent_data_121,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_othent_12_121(2)] = '1'",,,,,,
provides_othent_35_121,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_othent_serv_121,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_121(5)] = '1'",,RH,,,,
provides_othent_68_121,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_121,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_121(8)] = '1'",,RH,,,,
agree_othent_121,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_121,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_121(10)] = '1'",,,,,,
country_othent_131,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
country_othent_oth_131,mapping_meeting,,text,Country,,,,,,,"[country_othent_131] = '2'",,RH,,,,
entity_othent_131,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_othent_12_131,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_othent_data_131,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_othent_12_131(2)] = '1'",,,,,,
receives_othent_35_131,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_othent_serv_131,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_35_131(5)] = '1'",,RH,,,,
receives_othent_68_131,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_othent_oth_131,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_68_131(8)] = '1'",,RH,,,,
provides_othent_12_131,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_othent_data_131,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_othent_12_131(2)] = '1'",,,,,,
provides_othent_35_131,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_othent_serv_131,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_131(5)] = '1'",,RH,,,,
provides_othent_68_131,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_131,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_131(8)] = '1'",,RH,,,,
agree_othent_131,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_131,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_131(10)] = '1'",,,,,,
country_othent_141,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
country_othent_oth_141,mapping_meeting,,text,Country,,,,,,,"[country_othent_141] = '2'",,RH,,,,
entity_othent_141,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_othent_12_141,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_othent_data_141,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_othent_12_141(2)] = '1'",,,,,,
receives_othent_35_141,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_othent_serv_141,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_35_141(5)] = '1'",,RH,,,,
receives_othent_68_141,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_othent_oth_141,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_68_141(8)] = '1'",,RH,,,,
provides_othent_12_141,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_othent_data_141,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_othent_12_141(2)] = '1'",,,,,,
provides_othent_35_141,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_othent_serv_141,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_35_141(5)] = '1'",,RH,,,,
provides_othent_68_141,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_othent_oth_141,mapping_meeting,,text,"Please describe",,,,,,,"[provides_othent_68_141(8)] = '1'",,RH,,,,
agree_othent_141,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_othent_oth_141,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_othent_141(10)] = '1'",,,,,,
country_othent_151,mapping_meeting,,radio,Country,"1, Australia | 2, Other",,,,,,,,,,,,
country_othent_oth_151,mapping_meeting,,text,Country,,,,,,,"[country_othent_151] = '2'",,RH,,,,
entity_othent_151,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_othent_12_151,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_othent_data_151,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_othent_12_151(2)] = '1'",,,,,,
receives_othent_35_151,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_othent_serv_151,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_35_151(5)] = '1'",,RH,,,,
receives_othent_68_151,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_othent_oth_151,mapping_meeting,,text,"Please describe",,,,,,,"[receives_othent_68_151(8)] = '1'",,RH,,,,
provides_othent_12_151,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
