field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
agree_table_2,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 49px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 24.5px;""> <td style=""width: 59.6887%; height: 49px;"" rowspan=""2""> <p>Date of first Florey Legal request</p> </td> <td style=""width: 40.1718%; height: 24.5px;"">{agree_review}</td> </tr> <tr style=""height: 24.5px;""> <td style=""width: 40.1718%; height: 24.5px;"">{agree_review_p}</td> </tr> </tbody> </table></div>",,,,,,,"[agree_past_yn] = '1' or [current-instance]<>'1'",,,,,,
agree_review,agreements,,text,"Date of first Florey Legal request",,DD-MM-YYYY,date_dmy,,,,"[agree_past_yn] = '1' or [current-instance]<>'1'",,,,,,
agree_review_p,agreements,,radio,or,"1, Pending",,,,,,"([agree_past_yn] = '1' or [current-instance]<>'1') and [agree_review]=""""",,,,,,
intake_number,agreements,,text,"Matter Number assigned by Legal",,,,,,,"[agree_past_yn] = '1' or [current-instance]<>'1'",,,,,,
agree_table_3,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date agreement fully executed</td> <td style=""width: 40.1718%; height: 17px;"">{agree_final}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_final_p}</td> </tr> </tbody> </table></div>",,,,,,,"[agree_past_yn] = '1' or [current-instance]<>'1'",,,,,,
agree_final,agreements,,text,"Date agreement fully executed",,DD-MM-YYYY,date_dmy,,,,"[agree_past_yn] = '1' or [current-instance]<>'1'",,,,,,
agree_final_p,agreements,,radio,or,"1, Pending",,,,,,"([agree_past_yn] = '1' or [current-instance]<>'1') and [agree_final]=""""",,,,,,
agree_comments,agreements,,notes,"Comments (as required)",,,,,,,"[agree_past_yn] = '1' or [current-instance]<>'1'",,,,,,
agree_file,agreements,,file,"Upload executed copy",,,,,,,"[agree_past_yn] = '1' or [current-instance]<>'1'",y,,,,,@INLINE
agree_end_date,agreements,,text,"End date of contract",,DD-MM-YYYY,date_dmy,,,,"[agree_past_yn] = '1' or [current-instance]<>'1'",y,,,,,
agree_amend_yn,agreements,,yesno,"Is there an amendment to this agreement required/in place?",,,,,,,"[agree_past_yn] = '1' or [current-instance]<>'1'",y,RH,,,,
amend_date_table_1,agreements,"Amendment 1",descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date draft amendment sent to recipient</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_date}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_date_p}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn]='1',,,,,,
agree_amend_date,agreements,,text,"Date draft amendment sent to recipient",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_date_p,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_date]=""""",,,,,,
amend_review_table_1,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date of Florey Legal review</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_review}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_review_p}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn]='1',,,,,,
agree_amend_review,agreements,,text,"Date of Florey Legal review",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_review_p,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_review]=""""",,,,,,
amend_final_table_1,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date amendment fully executed</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_final}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_final_p}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn]='1',,,,,,
agree_amend_final,agreements,,text,"Date amendment fully executed",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_final_p,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_final]=""""",,,,,,
agree_amend_file,agreements,,file,"Upload executed copy",,,,,,,[agree_amend_yn]='1',y,,,,,@INLINE
agree_amend_end_date,agreements,,text,"End date of contract",,DD-MM-YYYY,date_dmy,,,,[agree_amend_yn]='1',y,,,,,
agree_amend_yn_2,agreements,,yesno,"Is there another amendment to this agreement required/in place?",,,,,,,[agree_amend_yn]='1',y,RH,,,,
amend_date_table_2,agreements,"Amendment 2",descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date draft amendment sent to recipient</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_date_2}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_date_p_2}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_2]='1',,,,,,
agree_amend_date_2,agreements,,text,"Date draft amendment sent to recipient",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_date_p_2,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_date_2]=""""",,,,,,
amend_review_table_2,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date of Florey Legal review</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_review_2}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_review_p_2}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_2]='1',,,,,,
agree_amend_review_2,agreements,,text,"Date of Florey Legal review",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_review_p_2,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_review_2]=""""",,,,,,
amend_final_table_2,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date amendment fully executed</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_final_2}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_final_p_2}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_2]='1',,,,,,
agree_amend_final_2,agreements,,text,"Date amendment fully executed",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_final_p_2,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_final_2]=""""",,,,,,
agree_amend_file_2,agreements,,file,"Upload executed copy",,,,,,,[agree_amend_yn_2]='1',y,,,,,@INLINE
agree_amend_end_date_2,agreements,,text,"End date of contract",,DD-MM-YYYY,date_dmy,,,,[agree_amend_yn_2]='1',y,,,,,
agree_amend_yn_3,agreements,,yesno,"Is there another amendment to this agreement required/in place?",,,,,,,[agree_amend_yn_2]='1',y,RH,,,,
amend_date_table_3,agreements,"Amendment 3",descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date draft amendment sent to recipient</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_date_3}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_date_p_3}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_3]='1',,,,,,
agree_amend_date_3,agreements,,text,"Date draft amendment sent to recipient",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_date_p_3,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_date_3]=""""",,,,,,
amend_review_table_3,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date of Florey Legal review</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_review_3}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_review_p_3}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_3]='1',,,,,,
agree_amend_review_3,agreements,,text,"Date of Florey Legal review",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_review_p_3,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_review_3]=""""",,,,,,
amend_final_table_3,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date amendment fully executed</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_final_3}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_final_p_3}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_3]='1',,,,,,
agree_amend_final_3,agreements,,text,"Date amendment fully executed",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_final_p_3,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_final_3]=""""",,,,,,
agree_amend_file_3,agreements,,file,"Upload executed copy",,,,,,,[agree_amend_yn_3]='1',y,,,,,@INLINE
agree_amend_end_date_3,agreements,,text,"End date of contract",,DD-MM-YYYY,date_dmy,,,,[agree_amend_yn_3]='1',y,,,,,
agree_amend_yn_4,agreements,,yesno,"Is there another amendment to this agreement required/in place?",,,,,,,[agree_amend_yn_3]='1',y,RH,,,,
amend_date_table_4,agreements,"Amendment 4",descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date draft amendment sent to recipient</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_date_4}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_date_p_4}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_4]='1',,,,,,
agree_amend_date_4,agreements,,text,"Date draft amendment sent to recipient",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_date_p_4,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_date_4]=""""",,,,,,
amend_review_table_4,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date of Florey Legal review</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_review_4}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_review_p_4}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_4]='1',,,,,,
agree_amend_review_4,agreements,,text,"Date of Florey Legal review",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_review_p_4,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_review_4]=""""",,,,,,
amend_final_table_4,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date amendment fully executed</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_final_4}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_final_p_4}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_4]='1',,,,,,
agree_amend_final_4,agreements,,text,"Date amendment fully executed",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_final_p_4,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_final_4]=""""",,,,,,
agree_amend_file_4,agreements,,file,"Upload executed copy",,,,,,,[agree_amend_yn_4]='1',y,,,,,@INLINE
agree_amend_end_date_4,agreements,,text,"End date of contract",,DD-MM-YYYY,date_dmy,,,,[agree_amend_yn_4]='1',y,,,,,
agree_amend_yn_5,agreements,,yesno,"Is there another amendment to this agreement required/in place?",,,,,,,[agree_amend_yn_4]='1',y,RH,,,,
amend_date_table_5,agreements,"Amendment 5",descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date draft amendment sent to recipient</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_date_5}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_date_p_5}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_5]='1',,,,,,
agree_amend_date_5,agreements,,text,"Date draft amendment sent to recipient",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_date_p_5,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_date_5]=""""",,,,,,
amend_review_table_5,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date of Florey Legal review</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_review_5}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_review_p_5}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_5]='1',,,,,,
agree_amend_review_5,agreements,,text,"Date of Florey Legal review",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_review_p_5,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_review_5]=""""",,,,,,
amend_final_table_5,agreements,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: hidden; float: left;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 59.6887%; height: 34px;"" rowspan=""2"">Date amendment fully executed</td> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_final_5}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 40.1718%; height: 17px;"">{agree_amend_final_p_5}</td> </tr> </tbody> </table></div>",,,,,,,[agree_amend_yn_5]='1',,,,,,
agree_amend_final_5,agreements,,text,"Date amendment fully executed",,DD-MM-YYYY,date_dmy,,,,,,,,,,
agree_amend_final_p_5,agreements,,radio,or,"1, Pending",,,,,,"[agree_amend_final_5]=""""",,,,,,
agree_amend_file_5,agreements,,file,"Upload executed copy",,,,,,,[agree_amend_yn_5]='1',y,,,,,@INLINE
agree_amend_end_date_5,agreements,,text,"End date of contract",,DD-MM-YYYY,date_dmy,,,,[agree_amend_yn_5]='1',y,,,,,
agreements_instructions,agreements,,descriptive,"<div class=""rich-text-field-label""><p style=""border: 2px solid grey; padding: 2px; text-align: center;""><span style=""display: block; border: 1px solid red; padding: 10px; font- size: 125%; font-style: italic; font-weight: normal;"">To add another agreement, select the dropdown box from 'current instance' above and select 'Add New'. </span></p></div>",,,,,,,"[agree_past_yn] = '1' or [current-instance]<>'1'",,,,,,
data_types,data_storage_and_archive,"<h4><b><center>DATA STORAGE AND ARCHIVE</center></b></h4>",checkbox,"What type(s) of data are you collecting?","1, Information data (e.g. patient list, numeric or text results) | 2, Biological samples | 3, Images | 4, Other",,,,,,,y,,,,,
data_types_other,data_storage_and_archive,,text,"If other, please specify",,,,,,,"[data_types(4)] = '1'",y,,,,,
info_data_what,data_storage_and_archive,"<h4><b><center>INFORMATION DATA</center></b></h4>",notes,"<div class=""rich-text-field-label""><p>What type of information data is being stored?</p> <p><em><span style=""font-weight: normal;"">e.g. patient list, numeric or text results</span></em></p></div>",,,,,,,"[data_types(1)] = '1'",y,,,,,
info_data_pers,data_storage_and_archive,,yesno,"<div class=""rich-text-field-label""><p>Does any of the data contain personal (identifiable) information?<br /><br /><em><span style=""font-weight: normal;"">Personal information contains details about an identified individual or one who is reasonably identifiable, such as name, phone number, and address.</span></em><br /><br /><em><span style=""font-weight: normal;"">This applies to participants, staff, volunteers, among others.</span></em></p></div>",,,,,,,"[data_types(1)] = '1'",y,RH,,,,
info_data_pers_consent,data_storage_and_archive,,descriptive,"<div class=""rich-text-field-label""><div class=""red"" style=""text-align: center;""> <h6 style=""text-align: center;"">If you are storing personal information, you should have specific consent from the individual for it to be held in your data base. The European Union General Data Protection Regulation (GDPR) stipulates this as an absolute requirement and a breach is subject to considerable fines.</h6> <h6 style=""text-align: center;"">For more information go to: bit.ly/2WWk6yJ</h6> </div></div>",,,,,,,"[info_data_pers] = '1'",,,,,,
info_data_pers_ethics,data_storage_and_archive,,yesno,"Do you have ethics approval to hold this personal (identifiable) information?",,,,,,,"[info_data_pers] = '1'",y,RH,,,,
info_data_pers_ethics_warn,data_storage_and_archive,,descriptive,"<div class=""red"" style=""text-align:center;""><h6 style=""text-align:center;"">If you are holding any personal information for patients/participants you must have specific ethics approval for the collection and storage of personal information.</h6></div>",,,,,,,"[info_data_pers_ethics] = '0'",,,,,,
info_data_dbase,data_storage_and_archive,,checkbox,"What data base(s) are you using to store the data?","1, REDCap | 2, Excel | 3, Access | 4, Other",,,,,,"[data_types(1)] = '1'",y,,,,,
info_data_dbase_other,data_storage_and_archive,,text,"If other, please specify",,,,,,,"[info_data_dbase(4)] = '1'",y,,,,,
redcap_des,data_storage_and_archive,,descriptive,"<div class=""rich-text-field-label""><div class=""green"" style=""text-align: center;""> <h6 style=""text-align: center;"">The Florey have a REDCap platform with existing expertise in the building and maintenance of clinical study data bases from small to very large complex designs. <br /><br />If you would like to know more about the possibility of using REDCap through the Florey platform, <br />please contact <a href=""mailto:redcap-admin@florey.edu.au"" target=""_blank"" rel=""noopener"">redcap-admin@florey.edu.au</a> for further information.</h6> </div></div>",,,,,,,"[info_data_dbase(1)] <> '1'",,,,,,
info_data_premises,data_storage_and_archive,,yesno,"<div class=""rich-text-field-label""><p>Do you intend to store the data on Florey servers/premises?</p></div>",,,,,,,"[data_types(1)] = '1'",y,RH,,,,
info_data_premises_where,data_storage_and_archive,,notes,"<div class=""rich-text-field-label""><p>Where will this data be physically located?</p></div>",,,,,,,"[info_data_premises] = '1'",y,,,,,
info_data_date_remove,data_storage_and_archive,,text,"Approximate date the data will be removed from Florey premises",,DD-MM-YYYY,date_dmy,,,,"[info_data_premises] = '1'",y,,,,,
info_data_third,data_storage_and_archive,,yesno,"Do you intend to store the data with a third party?",,,,,,,"[data_types(1)] = '1'",y,RH,,,,
info_data_third_name,data_storage_and_archive,,text,"What is the name of the third party?",,,,,,,"[info_data_third] ='1'",y,,,,,
info_data_third_where,data_storage_and_archive,,notes,"<div class=""rich-text-field-label""><p>What is the address where the data will be physically stored?</p></div>",,,,,,,"[info_data_third] = '1'",y,,,,,
info_data_third_agree,data_storage_and_archive,,yesno,"Is there a services agreement in place with the third party?",,,,,,,"[info_data_third] = '1'",y,RH,,,,
info_data_third_agree_warn,data_storage_and_archive,,descriptive,"<div class=""rich-text-field-label""><div class=""red"" style=""text-align: center;""> <h6 style=""text-align: center;"">You must have an agreement in place prior to data being sent to the third party. Please check with <a href=""mailto:legal@florey.edu.au"" target=""_blank"" rel=""noopener"">legal@florey.edu.au</a> for further information.</h6> </div></div>",,,,,,,"[info_data_third_agree] = '0'",,,,,,
info_data_date_destroy,data_storage_and_archive,,text,"Date after which stored data can be securely destroyed",,DD-MM-YYYY,date_dmy,,,,"[data_types(1)] = '1'",y,,,,,
samples_what,data_storage_and_archive,"<h4><b><center>BIOLOGICAL SAMPLES </center></b></h4>",notes,"<div class=""rich-text-field-label""><p>What type of biological samples are being stored?</p> <p><em><span style=""font-weight: normal;"">e.g. participant tissue or genetic samples</span></em></p></div>",,,,,,,"[data_types(2)] = '1'",y,,,,,
samples_pers,data_storage_and_archive,,yesno,"<div class=""rich-text-field-label""><p>Are any of the samples connected with personal (identifiable) information?<br /><br /><em><span style=""font-weight: normal;"">Personal information contains details about an identified individual or one who is reasonably identifiable, such as name, phone number, and address.</span></em></p></div>",,,,,,,"[data_types(2)] = '1'",y,RH,,,,
samples_pers_consent,data_storage_and_archive,,descriptive,"<div class=""rich-text-field-label""><div class=""red"" style=""text-align: center;""> <h6 style=""text-align: center;"">If you are storing personal information, you should have specific consent from the individual for it to be held in your data base. The European Union General Data Protection Regulation (GDPR) stipulates this as an absolute requirement and a breach is subject to considerable fines.</h6> <h6 style=""text-align: center;"">For more information go to: bit.ly/2WWk6yJ</h6> </div></div>",,,,,,,"[samples_pers] = '1'",,,,,,
samples_pers_ethics,data_storage_and_archive,,yesno,"Do you have ethics approval to hold this personal (identifiable) information?",,,,,,,"[samples_pers] = '1'",y,RH,,,,
samples_pers_ethics_warn,data_storage_and_archive,,descriptive,"<div class=""red"" style=""text-align:center;""><h6 style=""text-align:center;"">If you are holding any personal information for patients/participants you must have specific ethics approval for the collection and storage of personal information.</h6></div>",,,,,,,"[samples_pers_ethics] = '0'",,,,,,
samples_premises,data_storage_and_archive,,yesno,"<div class=""rich-text-field-label""><p>Do you intend to store the samples on Florey premises?</p></div>",,,,,,,"[data_types(2)] = '1'",y,RH,,,,
samples_premises_where,data_storage_and_archive,,notes,"<div class=""rich-text-field-label""><p>Where will these samples be physically stored?</p> <p><em><span style=""font-weight: normal;"">Please list addresses of ALL storage locations used and include: street address, building, level, room, freezer number etc</span></em></p></div>",,,,,,,[samples_premises]='1',y,,,,,
samples_date_remove,data_storage_and_archive,,text,"Approximate date the samples will be removed from Florey premises",,DD-MM-YYYY,date_dmy,,,,"[samples_premises] = '1'",y,,,,,
samples_third,data_storage_and_archive,,yesno,"Do you intend to store the samples with a third party?",,,,,,,"[data_types(2)] = '1'",y,RH,,,,
samples_third_name,data_storage_and_archive,,text,"What is the name of the third party?",,,,,,,"[samples_third] ='1'",y,,,,,
samples_third_where,data_storage_and_archive,,notes,"<div class=""rich-text-field-label""><p>What is the address where the samples will be physically stored?</p></div>",,,,,,,"[samples_third] = '1'",y,,,,,
samples_third_agree,data_storage_and_archive,,yesno,"Is there a services agreement in place with the third party?",,,,,,,"[samples_third] = '1'",y,RH,,,,
samples_third_agree_warn,data_storage_and_archive,,descriptive,"<div class=""rich-text-field-label""><div class=""red"" style=""text-align: center;""> <h6 style=""text-align: center;"">You must have an agreement in place prior to samples being sent to the third party. Please check with <a href=""mailto:legal@florey.edu.au"" target=""_blank"" rel=""noopener"">legal@florey.edu.au</a> for further information.</h6> </div></div>",,,,,,,"[samples_third_agree] = '0'",,,,,,
samples_date_destroy,data_storage_and_archive,,text,"Date after which the samples can be securely destroyed",,DD-MM-YYYY,date_dmy,,,,"[data_types(2)] = '1'",y,,,,,
images_what,data_storage_and_archive,<h4><b><center>IMAGES</center></b></h4>,notes,"<div class=""rich-text-field-label""><p>What type of images are being stored?</p> <p><em><span style=""font-weight: normal;"">e.g. MRIs, PET scans</span></em></p></div>",,,,,,,"[data_types(3)] = '1'",y,,,,,
images_pers,data_storage_and_archive,,yesno,"<div class=""rich-text-field-label""><p>Are any of the images connected with personal (identifiable) information?<br /><br /><em><span style=""font-weight: normal;"">Personal information contains details about an identified individual or one who is reasonably identifiable, such as name, phone number, and address.</span></em></p></div>",,,,,,,"[data_types(3)] = '1'",y,RH,,,,
images_pers_consent,data_storage_and_archive,,descriptive,"<div class=""rich-text-field-label""><div class=""red"" style=""text-align: center;""> <h6 style=""text-align: center;"">If you are storing personal information, you should have specific consent from the individual for it to be held in your data base. The European Union General Data Protection Regulation (GDPR) stipulates this as an absolute requirement and a breach is subject to considerable fines.</h6> <h6 style=""text-align: center;"">For more information go to: bit.ly/2WWk6yJ</h6> </div></div>",,,,,,,"[images_pers] = '1'",,,,,,
images_pers_ethics,data_storage_and_archive,,yesno,"Do you have ethics approval to hold this personal (identifiable) information?",,,,,,,"[images_pers] = '1'",y,RH,,,,
images_pers_ethics_warn,data_storage_and_archive,,descriptive,"<div class=""red"" style=""text-align:center;""><h6 style=""text-align:center;"">If you are holding any personal information for patients/participants you must have specific ethics approval for the collection and storage of personal information.</h6></div>",,,,,,,"[images_pers_ethics] = '0'",,,,,,
images_premises,data_storage_and_archive,,yesno,"<div class=""rich-text-field-label""><p>Do you intend to store the images on Florey servers/premises?</p></div>",,,,,,,"[data_types(3)] = '1'",y,RH,,,,
images_premises_where,data_storage_and_archive,,notes,"<div class=""rich-text-field-label""><p>Where will these images be physically stored?</p> <p><em><span style=""font-weight: normal;"">Please list addresses of ALL storage locations used and include: street address, building, level, room, freezer number etc</span></em></p></div>",,,,,,,[images_premises]='1',y,,,,,
images_date_remove,data_storage_and_archive,,text,"Approximate date the images will be removed from Florey premises",,DD-MM-YYYY,date_dmy,,,,"[images_premises] = '1'",y,,,,,
images_third,data_storage_and_archive,,yesno,"Do you intend to store the images with a third party?",,,,,,,"[data_types(3)] = '1'",y,RH,,,,
images_third_name,data_storage_and_archive,,text,"What is the name of the third party?",,,,,,,"[images_third] ='1'",y,,,,,
images_third_where,data_storage_and_archive,,notes,"<div class=""rich-text-field-label""><p>What is the address where the images will be physically stored?</p></div>",,,,,,,"[images_third] = '1'",y,,,,,
images_third_agree,data_storage_and_archive,,yesno,"Is there a services agreement in place with the third party?",,,,,,,"[images_third] = '1'",y,RH,,,,
images_third_agree_warn,data_storage_and_archive,,descriptive,"<div class=""rich-text-field-label""><div class=""red"" style=""text-align: center;""> <h6 style=""text-align: center;"">You must have an agreement in place prior to images being sent to the third party. Please check with <a href=""mailto:legal@florey.edu.au"" target=""_blank"" rel=""noopener"">legal@florey.edu.au</a> for further information.</h6> </div></div>",,,,,,,"[images_third_agree] = '0'",,,,,,
images_date_destroy,data_storage_and_archive,,text,"Date after which the images can be securely destroyed",,DD-MM-YYYY,date_dmy,,,,"[data_types(3)] = '1'",y,,,,,
